,index,Episode,Speaker,Internal,NumWords
639,639,5,Jeremy,False,1
640,640,5,Jeremy,True,6
641,641,5,Jeremy,False,40
642,642,5,Jeremy,True,5
643,643,5,Jeremy,True,12
644,644,5,Jeremy,False,2
645,645,5,Jeremy,False,2
646,646,5,Jeremy,False,3
647,647,5,Jeremy,False,2
648,648,5,Jeremy,True,5
649,649,5,Jeremy,False,13
650,650,5,Jeremy,False,5
651,651,5,Jeremy,True,4
652,652,5,Jeremy,True,1
653,653,5,Jeremy,True,3
654,654,5,Jeremy,False,2
655,655,5,Jeremy,False,2
656,656,5,Jeremy,False,3
657,657,5,Jeremy,False,4
658,658,5,Jeremy,False,1
659,659,5,Jeremy,True,2
660,660,5,Jeremy,False,2
661,661,5,Jeremy,False,8
662,662,5,Jeremy,True,2
663,663,5,Jeremy,True,5
664,664,5,Jeremy,True,7
665,665,5,Jeremy,True,6
666,666,5,Jeremy,True,11
667,667,5,Jeremy,True,5
668,668,5,Jeremy,True,7
669,669,5,Jeremy,False,5
670,670,5,Jeremy,False,3
671,671,5,Jeremy,False,1
672,672,5,Jeremy,False,8
673,673,5,Jeremy,False,5
674,674,5,Jeremy,False,5
675,675,5,Jeremy,False,4
676,676,5,Jeremy,False,2
677,677,5,Jeremy,False,3
678,678,5,Jeremy,False,3
679,679,5,Jeremy,False,4
680,680,5,Jeremy,False,12
681,681,5,Jeremy,True,1
682,682,5,Jeremy,True,5
683,683,5,Jeremy,True,3
684,684,5,Jeremy,True,3
685,685,5,Jeremy,False,5
686,686,5,Jeremy,False,4
687,687,5,Jeremy,False,3
688,688,5,Jeremy,False,7
689,689,5,Jeremy,False,5
690,690,5,Jeremy,False,4
691,691,5,Jeremy,False,1
692,692,5,Jeremy,True,13
693,693,5,Jeremy,True,7
694,694,5,Jeremy,True,5
695,695,5,Jeremy,True,4
696,696,5,Jeremy,True,5
697,697,5,Jeremy,True,8
698,698,5,Jeremy,True,3
699,699,5,Jeremy,True,4
700,700,5,Jeremy,True,4
701,701,5,Jeremy,True,6
702,702,5,Jeremy,False,9
703,703,5,Jeremy,False,17
704,704,5,Jeremy,False,1
705,705,5,Jeremy,False,24
706,706,5,Jeremy,False,4
707,707,5,Jeremy,False,4
708,708,5,Jeremy,False,9
709,709,5,Jeremy,False,5
710,710,5,Jeremy,False,13
711,711,5,Jeremy,False,7
712,712,5,Jeremy,False,4
713,713,5,Jeremy,False,2
714,714,5,Jeremy,False,8
715,715,5,Jeremy,False,12
716,716,5,Jeremy,False,6
717,717,5,Jeremy,False,3
718,718,5,Jeremy,True,6
719,719,5,Jeremy,True,8
720,720,5,Jeremy,False,1
721,721,5,Jeremy,False,1
722,722,5,Jeremy,False,1
723,723,5,Jeremy,False,4
724,724,5,Jeremy,False,7
725,725,5,Jeremy,False,4
726,726,5,Jeremy,False,3
727,727,5,Jeremy,False,3
728,728,5,Jeremy,False,8
729,729,5,Jeremy,False,5
730,730,5,Jeremy,False,4
731,731,5,Jeremy,False,2
732,732,5,Jeremy,False,4
733,733,5,Jeremy,False,13
734,734,5,Jeremy,False,12
735,735,5,Jeremy,False,2
736,736,5,Jeremy,False,14
737,737,5,Jeremy,False,3
738,738,5,Jeremy,False,9
739,739,5,Jeremy,False,9
740,740,5,Jeremy,False,4
741,741,5,Jeremy,False,5
742,742,5,Jeremy,False,7
743,743,5,Jeremy,False,22
744,744,5,Jeremy,False,7
745,745,5,Jeremy,False,2
746,746,5,Jeremy,False,5
747,747,5,Jeremy,False,2
748,748,5,Jeremy,False,6
749,749,5,Jeremy,False,2
750,750,5,Jeremy,False,3
751,751,5,Jeremy,False,7
752,752,5,Jeremy,False,16
753,753,5,Jeremy,False,5
754,754,5,Jeremy,False,2
755,755,5,Jeremy,False,2
756,756,5,Jeremy,False,3
757,757,5,Jeremy,False,3
758,758,5,Jeremy,False,10
759,759,5,Jeremy,False,3
760,760,5,Jeremy,False,3
761,761,5,Jeremy,False,1
762,762,5,Jeremy,False,1
763,763,5,Jeremy,False,3
764,764,5,Jeremy,False,4
765,765,5,Jeremy,False,37
766,766,5,Jeremy,False,2
767,767,5,Jeremy,False,4
768,768,5,Jeremy,False,5
769,769,5,Jeremy,False,6
770,770,5,Jeremy,False,7
771,771,5,Jeremy,False,6
772,772,5,Jeremy,False,2
773,773,5,Jeremy,False,5
774,774,5,Jeremy,False,3
775,775,5,Jeremy,False,4
776,776,5,Jeremy,False,5
777,777,5,Jeremy,False,5
778,778,5,Jeremy,False,11
779,779,5,Jeremy,False,4
780,780,5,Jeremy,False,5
781,781,5,Jeremy,False,4
782,782,5,Jeremy,False,7
783,783,5,Jeremy,False,6
784,784,5,Jeremy,False,1
785,785,5,Jeremy,False,4
786,786,5,Jeremy,False,4
787,787,5,Jeremy,False,10
788,788,5,Jeremy,False,3
789,789,5,Jeremy,False,6
790,790,5,Jeremy,False,2
791,791,5,Jeremy,False,5
792,792,5,Jeremy,False,5
793,793,5,Jeremy,False,5
794,794,6,Jeremy,False,1
795,795,6,Jeremy,False,2
796,796,6,Jeremy,False,2
797,797,6,Jeremy,False,15
798,798,6,Jeremy,False,1
799,799,6,Jeremy,False,12
800,800,6,Jeremy,False,5
801,801,6,Jeremy,False,2
802,802,6,Jeremy,False,8
803,803,6,Jeremy,False,5
804,804,6,Jeremy,False,4
805,805,6,Jeremy,False,4
806,806,6,Jeremy,False,7
807,807,6,Jeremy,False,3
808,808,6,Jeremy,False,4
809,809,6,Jeremy,False,1
810,810,6,Jeremy,False,1
811,811,6,Jeremy,False,1
812,812,6,Jeremy,False,9
813,813,6,Jeremy,False,5
814,814,6,Jeremy,False,12
815,815,6,Jeremy,False,6
816,816,6,Jeremy,False,5
817,817,6,Jeremy,False,1
818,818,6,Jeremy,False,1
819,819,6,Jeremy,True,7
820,820,6,Jeremy,True,4
821,821,6,Jeremy,True,2
822,822,6,Jeremy,True,7
823,823,6,Jeremy,True,4
824,824,6,Jeremy,True,4
825,825,6,Jeremy,True,4
826,826,6,Jeremy,True,2
827,827,6,Jeremy,False,1
828,828,6,Jeremy,False,1
829,829,6,Jeremy,False,2
830,830,6,Jeremy,False,1
831,831,6,Jeremy,True,2
832,832,6,Jeremy,True,5
833,833,6,Jeremy,True,9
834,834,6,Jeremy,False,6
835,835,6,Jeremy,False,3
836,836,6,Jeremy,False,1
837,837,6,Jeremy,False,2
838,838,6,Jeremy,False,2
839,839,6,Jeremy,False,2
840,840,6,Jeremy,False,16
841,841,6,Jeremy,False,7
842,842,6,Jeremy,False,1
843,843,6,Jeremy,False,5
844,844,6,Jeremy,False,10
845,845,6,Jeremy,False,7
846,846,6,Jeremy,False,3
847,847,6,Jeremy,False,7
848,848,6,Jeremy,False,9
849,849,6,Jeremy,False,1
850,850,6,Jeremy,False,9
851,851,6,Jeremy,False,8
852,852,6,Jeremy,False,4
853,853,6,Jeremy,True,23
854,854,6,Jeremy,False,7
855,855,6,Jeremy,False,4
856,856,6,Jeremy,False,1
857,857,6,Jeremy,False,12
858,858,6,Jeremy,True,18
859,859,6,Jeremy,True,18
860,860,6,Jeremy,False,11
861,861,6,Jeremy,False,7
862,862,6,Jeremy,False,1
863,863,6,Jeremy,True,11
864,864,6,Jeremy,True,8
865,865,6,Jeremy,True,3
866,866,6,Jeremy,True,3
867,867,6,Jeremy,True,2
